id,glide_number,country,other_country,cause,severity,severity_raw,dead,displaced,affected_sqkm,began,ended,duration_days,validation,longitude,latitude
1,,Algeria,,Heavy rain,Medium,1.0,26,3000,92615.67,1985-01-01,1985-01-05,4,News,5.23026,35.8142
2,,Brazil,,Heavy rain,Very High,2.0,229,80000,678498.82,1985-01-15,1985-02-02,18,News,-45.3489,-18.7111
3,,Phillipines,,Torrential rain,Medium,1.0,43,444,12846.03,1985-01-20,1985-01-21,1,News,122.974,10.0207
4,,Indonesia,,Torrential rain,Medium,1.0,21,300,16542.12,1985-02-04,1985-02-18,14,News,124.606,1.01489
5,,Mozambique,,Heavy rain,Very High,2.0,19,0,20082.21,1985-02-09,1985-02-11,2,News,32.3491,-25.8693
6,,Comoros islands,,Tropical cyclone,Medium,1.0,2,35000,1035.61,1985-02-16,1985-02-28,12,News,43.36,-11.6516
7,,New Zealand,,Heavy rain,Medium,1.0,4,200,7871.37,1985-02-17,1985-02-18,1,News,175.734,-37.2305
8,,Indonesia,,Heavy rain,Medium,1.0,10,2000,77091.11,1985-02-19,1985-02-23,4,News,108.14,-7.04008
9,,USA,,Rain and snowmelt,Very High,2.0,7,2250,210527.96,1985-02-22,1985-03-01,7,News,-85.1742,40.6691
10,,Bolivia,,Heavy Rain,Medium,1.0,2,1000,69706.89,1985-02-25,1985-02-28,3,News,-63.2887,-21.2244
11,,USA,,Rain and snowmelt,Very High,2.0,4,2400,26266.14,1985-03-03,1985-03-08,5,News,-89.5537,40.6814
12,,USA,,Rain and snowmelt,Medium,1.0,0,80,26527.13,1985-03-13,1985-03-14,1,News,-108.093,35.3824
13,,USA,,Heavy rain,Medium,1.0,0,0,141508.0,1985-03-14,1985-03-15,1,News,-96.7845,29.6044
14,,USA,,Heavy rain,Medium,1.0,0,300,16883.54,1985-03-30,1985-03-31,1,News,-83.5377,42.0122
15,,Brazil,,Heavy rain,Very High,2.0,32,700000,1970402.21,1985-04-02,1985-04-17,15,News,-48.0987,-4.13519
16,,USA,,Heavy rain,Medium,1.0,1,200,17192.76,1985-04-11,1985-04-12,1,News,-96.8425,28.5802
17,,China,,Ice jam/break-up,Medium,1.0,0,200,300325.08,1985-04-21,1985-04-29,8,News,127.897,48.0917
18,,USA,,Rain and snowmelt,Very High,2.0,0,400,5123.72,1985-04-24,1985-04-25,1,News,-87.8805,46.4938
19,,USA,,Heavy rain,Medium,1.0,2,0,116344.02,1985-05-11,1985-05-12,1,News,-105.275,34.8628
20,,USA,,Heavy rain,Medium,1.0,2,4500,1423.92,1985-05-19,1985-05-20,1,News,-66.706,18.2291
21,,China,,Heavy rain,Very High,2.0,64,10000,458666.21,1985-05-26,1985-06-06,11,News,109.57,25.6694
22,,Argentina,,Heavy rain,Very High,2.0,25,100000,78653.41,1985-05-30,1985-06-01,2,News,-58.9735,-35.4392
