ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
141,0,Italy,0,9.9383,45.7794,4687.42,1987-07-12,1987-07-21,News,20,300,Heavy rain,1.0
595,0,Italy,0,14.0174,37.4429,52843.96,1991-10-13,1991-10-15,News,17,0,Heavy rain,1.0
641,0,Italy,0,10.5657,45.3963,7026.51,1992-04-03,1992-04-05,News,32,0,Heavy rain,1.0
703,0,Italy,0,8.93857,44.5004,4076.56,1992-09-28,1992-09-28,News,2,0,Heavy rain,1.0
711,0,Italy,0,11.14,43.6735,3332.49,1992-10-31,1992-10-31,News,0,1000,Heavy rain,1.0
896,0,Italy,0,10.8528,43.7041,30590.88,1994-09-02,1994-09-03,News,3,0,Torrential rain,1.0
912,0,Italy,0,10.2403,45.2087,90174.15,1994-11-01,1994-11-10,News,83,10308,Heavy rain,2.0
946,0,Italy,0,7.32512,44.9518,24761.82,1995-04-24,1995-04-30,News,3,0,Rain and snowmelt,1.0
1079,0,Italy,0,10.8096,44.2003,66764.81,1996-06-19,1996-06-23,News,17,300,Heavy rain,1.0
1231,0,Italy,0,10.0135,45.9922,17109.34,1997-06-26,1997-06-29,News,2,700,Heavy rain,1.0
1352,0,Italy,0,12.982,41.6911,17721.98,1998-05-01,1998-05-07,News,148,3463,Heavy rain,1.0
1577,0,Italy,0,14.1524,42.6196,30829.03,1999-12-15,1999-12-16,News,5,300,Heavy rain,1.0
1650,0,Italy,0,8.74789,45.5709,44552.5,2000-10-14,2000-10-22,News,37,43000,Brief torrential rain,2.0
1662,0,Italy,0,7.74033,44.8503,23851.47,2000-11-05,2000-11-07,News,3,30,Heavy rain,1.0
1794,0,Italy,0,14.2544,40.8829,69.4003,2001-09-14,2001-09-15,News,2,0,Brief torrential rain,1.0
2050,0,Italy,0,10.4002,42.8283,90.1132,2002-09-04,2002-09-06,News,0,1200,Heavy rain,1.0
2099,0,Italy,0,8.64237,45.8293,29901.95,2002-11-22,2002-12-03,News,0,10000,Heavy rain,1.0
2140,0,Italy,0,15.9205,41.3473,28756.0,2003-01-25,2003-01-27,News,1,1000,Heavy rain,1.0
2340,0,Italy,0,13.2272,46.0812,1114.78,2003-08-29,2003-08-30,News,2,300,Heavy rain,1.0
2360,0,Italy,0,10.3811,43.9155,1854.41,2003-09-23,2003-09-24,News,1,30,Brief torrential rain,1.0
2605,0,Italy,0,14.6179,40.776,215.291,2004-12-25,2004-12-28,News,0,0,Heavy rain,1.0
2755,0,Italy,0,16.8435,41.0532,1199.3,2005-10-23,2005-10-24,News,6,0,Heavy rain,1.0
3414,0,Italy,,12.188,45.0242,2219.9,2008-11-26,2008-11-28,News,7,46000,Heavy Rain,2.0
3418,0,Italy,0,13.1575,41.8299,5423.64,2008-12-01,2008-12-08,News,0,2000,Heavy Rain,1.0
3550,FL-2009-000216-ITA,Italy,0,15.733,38.114,1227.06,2009-10-01,2009-10-02,0,22,0,Torrential Rain,2.0
3587,0,Italy,0,12.7554,42.7931,40932.75,2009-12-21,2009-12-27,0,0,500,Torrential Rain,1.0
3746,0,Italy,0,11.1382,45.1256,18725.85,2010-11-08,2010-11-11,News,0,300,Heavy Rain,2.0
3873,,Italy,,9.33422,44.4216,4696.07,2011-10-26,2011-11-01,News,7,0,Torrential Rain,2.0
4004,,Italy,,12.4131,43.1605,66842.9,2012-11-11,2012-11-18,News,4,500,"Torrential Rain, Hgh Tides",1.5
4102,,Italy,,9.00455,40.3008,15699.75,2013-11-18,2013-11-19,News,18,2700,Torrential Rain,2.0
4141,,Italy,,13.013,43.3979,11256.33,2014-05-02,2014-05-10,News,2,250,Torrential Rain,1.5
4192,,Italy,,9.17775,44.6146,6229.19,2014-10-10,2014-10-11,News,1,0,Torrential Rain,1.0
4205,,Italy,,10.6129,45.9281,36733.48,2014-11-12,2014-11-16,News,5,0,Torrential Rain,1.5
4521,,Italy,,10.7366,43.0645,1332.63,2017-09-10,2017-09-14,News,6,0,Torrential Rain,1.5
4551,,Italy,,10.5881,45.457,27560.36,2017-12-12,2017-12-13,News,0,1000,Heavy Rain,1.5
4699,,Italy,Slovenia,12.0233,45.5062,56625.41,2018-10-27,2018-11-05,FloodList,11,0,Heavy Rain,1.0
4701,,Italy,,14.0522,37.4589,21688.55,2018-11-03,2018-11-07,FloodList,12,200,Torrential Rain,1.5
4749,,Italy,,12.5429,43.7947,22050.47,2019-05-12,2019-05-14,FloodList,0,20,Heavy Rain,1.0
4780,,Italy,,10.118,45.9656,14811.34,2019-08-06,2019-08-09,FloodList,0,146,Torrential Rain,1.0
4944,,Italy,,13.7677,37.8936,3124.91,2020-07-14,2020-07-17,FloodList,0,0,Torrential Rain,1.5
4984,,Italy,,16.4523,38.8594,17347.39,2020-11-20,2020-11-23,FloodList,0,200,Torrential Rain,1.5
5131,,Italy,,9.3757,44.6393,10408.23,2021-10-04,2021-10-06,FloodList,0,0,Torrential Rain,1.5
