name,health_amenity_type,amenity,healthcare,operator,operational_status,beds,longitude,latitude,adm2_pcode,district,facility_type
نۆرينگەي پيشابير,,clinic,clinic,,,,44.0621710351554,36.1389559457853,IQG11Q02,Erbil,clinic
دكتور علي فيصل اربيل,,doctors,doctor,,,,44.0309945463015,36.1918933640202,IQG11Q02,Erbil,doctors
,,hospital,hospital,,,,44.0167101907323,36.1834784361482,IQG11Q02,Erbil,hospital
,,pharmacy,pharmacy,,,,44.0355769327665,36.1965215994955,IQG11Q02,Erbil,pharmacy
ارشد صالح هريرى,,dentist,dentist,,,,44.005468549834,36.1945435541656,IQG11Q02,Erbil,dentist
,,pharmacy,pharmacy,,,,44.0521237316403,36.1843437838318,IQG11Q02,Erbil,pharmacy
نۆرینگەی دکتۆر محەمەد,,clinic,clinic,,,,43.9658908794293,36.1250496978682,IQG11Q02,Erbil,clinic
تمارە,,clinic,clinic,,,,44.0179425819559,36.2937304700933,IQG11Q02,Erbil,clinic
نەخۆشخانەی سۆران,,hospital,hospital,,,,44.0051709922713,36.2032223443495,IQG11Q02,Erbil,hospital
د. حسین ابراهیم طه رواندزی/جراح استشاري,,clinic,clinic,,,,44.0026959839022,36.1938302542056,IQG11Q02,Erbil,clinic
تاقیگەی عبدالسلام,,,laboratory,,,,44.1031554403697,36.153613882779,IQG11Q02,Erbil,laboratory
د. زیاد شەفیق ڕاوی,,doctors,doctor,,,,44.0412070571281,36.1890610351188,IQG11Q02,Erbil,doctors
د. احمد ئەلقوریشی بۆ چاو,,doctors,doctor,,,,44.0053741696043,36.1944092760768,IQG11Q02,Erbil,doctors
دةرمانخانةى هةريم (د.نعمةت,,pharmacy,,,,,44.5424459565517,36.6548229426273,IQG11Q05,Rawanduz,pharmacy
,,pharmacy,pharmacy,,,,44.1418742171562,36.2056572872214,IQG11Q02,Erbil,pharmacy
هيمن صابر شواني,,doctors,doctor,,,,44.0063683471397,36.1939543901915,IQG11Q02,Erbil,doctors
,,pharmacy,pharmacy,,,,44.6514430519536,36.088198995842,IQG11Q03,Koysinjaq,pharmacy
,,pharmacy,,,,,43.9762907257918,36.1778144488977,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی رزگاریی بەشی فریاکەوتن,,hospital,,,,,44.0395229651425,36.1928139484457,IQG11Q02,Erbil,hospital
عيادة گەشە الطبية,,clinic,,,,,44.0790888170637,36.175438179348,IQG11Q02,Erbil,clinic
نۆرینگەی پزیشکیی,,clinic,clinic,,,,44.0706417865026,36.1715906343343,IQG11Q02,Erbil,clinic
,,pharmacy,pharmacy,,,,43.9632336484852,36.1986899978465,IQG11Q02,Erbil,pharmacy
كاشی برایان,,clinic,clinic,,,,44.6235245250442,36.0831998611512,IQG11Q03,Koysinjaq,clinic
Marriage Blood Inspection,,hospital,,,,,44.5311252743065,36.652717157093,IQG11Q05,Rawanduz,hospital
,,pharmacy,,,,,43.9793183530371,36.1637336897565,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,43.9352671770897,36.1680338575416,IQG11Q02,Erbil,pharmacy
,,hospital,,,,,44.4363094370648,36.7962341987057,IQG11Q05,Rawanduz,hospital
,,pharmacy,pharmacy,,,,43.9786889559278,36.1511155727191,IQG11Q02,Erbil,pharmacy
صیدلیة سلام,,pharmacy,pharmacy,Dr salam shexany,,,43.9912099267075,36.1693931507793,IQG11Q02,Erbil,pharmacy
مستشفی تاران ال,,hospital,hospital,,,,44.0396914413963,36.1835505205155,IQG11Q02,Erbil,hospital
دەرمانخانەی توا,,pharmacy,pharmacy,,,,44.0624086621104,36.166082885759,IQG11Q02,Erbil,pharmacy
دەرمانخانەی نەخۆشخانەی مەریەمانە,,pharmacy,pharmacy,,,,43.9916035408805,36.2273382532462,IQG11Q02,Erbil,pharmacy
باغي ريحان,,pharmacy,pharmacy,,,,44.0535634911485,36.1923722221485,IQG11Q02,Erbil,pharmacy
دكتور رائيد عةبدولله حاجى,,clinic,,,,,44.0354468456292,36.2116107854075,IQG11Q02,Erbil,clinic
,,pharmacy,,,,,43.9846768199169,36.1637060294761,IQG11Q02,Erbil,pharmacy
هەولێر سمایڵ,,dentist,,,,,44.0606390747124,36.1948424528328,IQG11Q02,Erbil,dentist
سةنتةري بزيشكي انكليزي,,,optometrist,,,,43.995326363175,36.2006276424031,IQG11Q02,Erbil,optometrist
دەرمانخانەی فارما,,pharmacy,pharmacy,,,,44.0362601416942,36.2000161825666,IQG11Q02,Erbil,pharmacy
دەرمانخانەی لیمۆ,,pharmacy,pharmacy,,,,44.0302818330747,36.3125213559038,IQG11Q02,Erbil,pharmacy
نۆرینگەی پزیشکی د. وەلید هیشام,,clinic,clinic,,,,44.041999230797,36.2049872378817,IQG11Q02,Erbil,clinic
یاران,,pharmacy,pharmacy,,,,43.9767679913585,36.1537482446869,IQG11Q02,Erbil,pharmacy
,,hospital,,,,,43.3912043799814,35.7713461244387,IQG11Q04,Makhmour,hospital
نۆرینگەی پزیشکی ئومێد مەشهەدانی,,clinic,clinic,,,,44.0030954654075,36.1860496687657,IQG11Q02,Erbil,clinic
تاقیگە(مختبر) ژیار بۆ شیکار نەخۆشی,,pharmacy,,,,,44.6150150493044,36.0829111884059,IQG11Q03,Koysinjaq,pharmacy
نەخۆشخانەی قەسرێ,,hospital,hospital,,,,44.82829643123,36.5585999514808,IQG11Q05,Rawanduz,hospital
مجمع نورجان الطبي,,clinic,,,,,44.0355090393508,36.2130333620141,IQG11Q02,Erbil,clinic
نەخۆشخانەی گشتی بلە,,hospital,hospital,,,,44.065381723166,36.8812297981893,IQG11Q01,Al-Zibar,hospital
کلینیکی ددانی بارزان دێنت,,dentist,,,,,44.0983558787935,36.1554714801603,IQG11Q02,Erbil,dentist
بيطار بيرزين,,doctors,,,,,44.0727310596876,36.267903982397,IQG11Q02,Erbil,doctors
Dr. Sheban Farhad - د. شێبان فەرهاد,,dentist,dentist,,,,44.0327625411379,36.2017661563112,IQG11Q02,Erbil,dentist
,,pharmacy,pharmacy,,,,44.0342739659181,36.0019776268383,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0789228553809,36.1180307759697,IQG11Q02,Erbil,pharmacy
بیلادونا,,pharmacy,pharmacy,,,,43.9958258407851,36.2386857575815,IQG11Q02,Erbil,pharmacy
صیدلیە,,clinic,,,,,44.0823016843692,36.2463097690701,IQG11Q02,Erbil,clinic
دەرمانخانەی نەدوەی خێرخوازی,,pharmacy,pharmacy,,,,44.0406148756689,36.1974716882202,IQG11Q02,Erbil,pharmacy
د. شەوقی غەزالی,,doctors,doctor,,,,44.0037810212681,36.1969553629847,IQG11Q02,Erbil,doctors
دەرمانخانە,,pharmacy,pharmacy,,,,44.8900122166585,36.637797034168,IQG11Q05,Rawanduz,pharmacy
