ADM2_PCODE,ADM_PCODE,RP10_female_pop_30cm,RP10_children_u5_30cm,RP10_female_u5_30cm,RP10_elderly_30cm,RP10_pop_u15_30cm,RP10_female_u15_30cm,RP10_education_30cm_pct,RP10_education_30cm_count,RP10_hospitals_30cm_pct,RP10_hospitals_30cm_count,RP10_primary_healthcare_30cm_pct,RP10_primary_healthcare_30cm_count,RP50_female_pop_30cm,RP50_children_u5_30cm,RP50_female_u5_30cm,RP50_elderly_30cm,RP50_pop_u15_30cm,RP50_female_u15_30cm,RP50_education_30cm_pct,RP50_education_30cm_count,RP50_hospitals_30cm_pct,RP50_hospitals_30cm_count,RP50_primary_healthcare_30cm_pct,RP50_primary_healthcare_30cm_count,RP100_female_pop_30cm,RP100_children_u5_30cm,RP100_female_u5_30cm,RP100_elderly_30cm,RP100_pop_u15_30cm,RP100_female_u15_30cm,RP100_education_30cm_pct,RP100_education_30cm_count,RP100_hospitals_30cm_pct,RP100_hospitals_30cm_count,RP100_primary_healthcare_30cm_pct,RP100_primary_healthcare_30cm_count,RP500_female_pop_30cm,RP500_children_u5_30cm,RP500_female_u5_30cm,RP500_elderly_30cm,RP500_pop_u15_30cm,RP500_female_u15_30cm,RP500_education_30cm_pct,RP500_education_30cm_count,RP500_hospitals_30cm_pct,RP500_hospitals_30cm_count,RP500_primary_healthcare_30cm_pct,RP500_primary_healthcare_30cm_count
IQG02Q01,IQG02Q01,81647,27040,13411,5418,70096,34362,98,91,67,4,88,14,84338,27931,13853,5597,72406,35495,100,93,83,5,100,16,85001,28151,13962,5641,72976,35774,100,93,83,5,100,16,86442,28628,14199,5736,74213,36380,100,93,83,5,100,16
IQG05Q01,IQG05Q01,2997,988,464,183,2603,1258,0,0,0,0,0,0,7155,2360,1108,438,6214,3001,4,1,0,0,0,0,7873,2597,1219,483,6838,3301,9,2,0,0,20,1,17103,5648,2649,1052,14853,7165,9,2,0,0,20,1
IQG12Q01,IQG12Q01,1435,466,206,90,1193,560,0,0,0,0,0,0,1787,580,257,112,1485,697,0,0,0,0,0,0,1994,647,287,125,1657,778,0,0,0,0,0,0,2346,761,337,147,1950,915,50,1,0,0,0,0
IQG08Q01,IQG08Q01,514443,141755,69985,35752,393108,190976,86,417,69,54,75,150,539006,148447,73311,37502,411588,199960,92,448,73,57,82,163,543833,149767,73967,37844,415227,201730,93,452,74,58,83,166,551639,151897,75026,38399,421106,204589,96,468,82,64,86,173
IQG09Q01,IQG09Q01,2661,763,371,168,2159,1047,0,0,0,0,0,0,2953,846,412,186,2395,1161,0,0,0,0,0,0,2953,846,412,186,2395,1161,0,0,0,0,0,0,3324,953,463,210,2696,1307,0,0,0,0,0,0
IQG14Q01,IQG14Q01,18627,6516,3324,1143,17017,8582,100,3,0,0,100,1,20717,7247,3697,1271,18926,9545,100,3,0,0,100,1,21581,7549,3851,1324,19715,9942,100,3,0,0,100,1,22750,7958,4060,1396,20783,10481,100,3,0,0,100,1
IQG15Q02,IQG15Q02,6763,2240,1088,429,5704,2754,0,0,0,0,0,0,8156,2701,1312,518,6879,3321,0,0,0,0,0,0,8347,2765,1343,530,7041,3399,0,0,0,0,0,0,9241,3061,1487,587,7795,3763,0,0,0,0,0,0
IQG02Q02,IQG02Q02,692173,229233,113694,45934,594250,291311,67,401,60,53,41,106,823540,272739,135272,54651,707031,346598,90,540,81,72,63,162,847163,280562,139152,56219,727313,356541,93,555,84,75,70,179,880040,291450,144553,58401,755539,370377,96,572,96,85,86,219
IQG17Q01,IQG17Q01,51802,16496,8034,2783,45091,22352,50,2,80,4,100,3,53919,17170,8362,2896,46934,23266,100,4,80,4,100,3,55140,17559,8552,2962,47997,23792,100,4,100,5,100,3,55935,17812,8675,3005,48689,24135,100,4,100,5,100,3
IQG16Q01,IQG16Q01,5190,1706,859,270,4455,2223,0,0,0,0,0,0,5426,1784,899,282,4658,2325,0,0,0,0,0,0,5490,1805,909,285,4713,2352,0,0,0,0,0,0,5553,1826,920,288,4767,2379,0,0,0,0,0,0
