ADM2_PCODE,ADM_PCODE,female_pop_rural,children_u5_rural,female_u5_rural,elderly_rural,pop_u15_rural,female_u15_rural,rural_pop_perc
IQG02Q01,IQG02Q01,3347,1109,550,222,2874,1409,3.78
IQG05Q01,IQG05Q01,29006,9582,4492,1787,25191,12148,31.37
IQG12Q01,IQG12Q01,3909,1269,562,245,3250,1525,19.14
IQG08Q01,IQG08Q01,46872,13014,6417,3215,36078,17536,8.11
IQG09Q01,IQG09Q01,82470,23715,11536,5202,66952,32462,41.6
IQG14Q01,IQG14Q01,55094,19272,9832,3380,50330,25382,93.0
IQG15Q02,IQG15Q02,68749,22770,11063,4364,57991,27994,79.2
IQG02Q02,IQG02Q02,116988,38744,19216,7764,100438,49236,12.72
IQG17Q01,IQG17Q01,2943,937,456,158,2562,1270,5.18
IQG16Q01,IQG16Q01,11283,3692,1852,608,9628,4795,81.43
IQG05Q02,IQG05Q02,43059,14222,6666,2660,37359,18015,10.74
IQG01Q01,IQG01Q01,181819,58307,28307,9342,156658,75685,51.44
IQG02Q03,IQG02Q03,2160,715,355,143,1854,909,12.09
IQG18Q01,IQG18Q01,64905,20141,10064,3915,56704,27370,63.98
IQG15Q03,IQG15Q03,58540,19155,9320,3722,49150,23751,47.11
IQG05Q03,IQG05Q03,56391,18699,8781,3454,49001,23679,34.26
IQG07Q01,IQG07Q01,57028,18360,8738,3607,47894,23397,28.53
IQG15Q04,IQG15Q04,54708,18119,8805,3470,46151,22282,87.14
IQG13Q01,IQG13Q01,98886,30323,13344,11134,72230,33789,66.63
IQG07Q02,IQG07Q02,32177,10345,4927,2039,26962,13183,5.45
IQG12Q02,IQG12Q02,5943,1923,873,374,4953,2356,2.23
IQG08Q02,IQG08Q02,104900,33407,16425,5324,89904,43634,6.74
IQG14Q03,IQG14Q03,102390,35816,18273,6282,93537,47172,26.91
IQG01Q02,IQG01Q02,42119,13334,6421,1988,36641,17408,45.7
IQG08Q03,IQG08Q03,32776,8990,4463,2336,24752,12032,4.08
IQG10Q01,IQG10Q01,82193,23282,11339,5371,65063,31581,31.33
IQG03Q01,IQG03Q01,19805,6699,3249,1075,17320,8635,34.25
IQG04Q01,IQG04Q01,39370,12527,5914,2339,32980,16110,19.89
IQG18Q02,IQG18Q02,13652,4240,2119,824,11931,5761,5.72
IQG08Q04,IQG08Q04,42141,11970,5833,2751,33433,16227,50.5
IQG07Q03,IQG07Q03,41000,13151,6283,2590,34453,16831,52.1
IQG08Q05,IQG08Q05,65204,20811,9945,4038,54716,26662,26.59
IQG14Q04,IQG14Q04,9847,3445,1757,604,8996,4537,23.29
IQG04Q02,IQG04Q02,27591,8940,4190,1639,23587,11431,20.59
IQG14Q05,IQG14Q05,32039,11207,5718,1966,29269,14761,27.46
IQG02Q04,IQG02Q04,21906,7247,3593,1446,18814,9226,25.05
IQG15Q05,IQG15Q05,257354,85168,41385,16337,217016,104768,21.16
IQG10Q02,IQG10Q02,37037,10489,5109,2421,29315,14229,59.22
IQG07Q04,IQG07Q04,46568,14972,7130,2951,39021,19079,33.86
IQG04Q03,IQG04Q03,25432,8039,3778,1458,21271,10388,4.51
IQG18Q03,IQG18Q03,96825,30047,15014,5841,84591,40830,44.49
IQG17Q04,IQG17Q04,82481,26267,12793,4431,71798,35591,15.14
IQG02Q05,IQG02Q05,86457,28634,14202,5737,74229,36389,47.02
IQG01Q03,IQG01Q03,101641,32412,15731,4865,88287,42289,29.03
IQG17Q02,IQG17Q02,85476,27217,13258,4595,74406,36879,32.61
IQG08Q06,IQG08Q06,1881,520,256,130,1445,702,0.27
IQG03Q02,IQG03Q02,37631,12920,6220,2104,32917,16338,20.26
IQG01Q04,IQG01Q04,8299,2627,1265,392,7218,3429,60.1
IQG03Q03,IQG03Q03,5200,1799,871,284,4555,2275,78.39
